macAddress,timeEslapsed,RSSI, ratioRSSI, calculatedDistance, mydistance, realDistance
D9:C0:35:1C:55:5A,56944,-61,0.792207792,0.1,0.23,0.25
D9:C0:35:1C:55:5A,58090,-59,0.766233766,0.11,0.21,0.25
D9:C0:35:1C:55:5A,59215,-63,0.818181818,0.11,0.22,0.25
D9:C0:35:1C:55:5A,859,-68,0.883116883,0.23,1.74,0.5
D9:C0:35:1C:55:5A,1978,-67,0.87012987,0.24,1.52,0.5
D9:C0:35:1C:55:5A,3133,-65,0.844155844,0.25,1.32,0.5
D9:C0:35:1C:55:5A,4272,-67,0.87012987,0.26,1.24,0.5
D9:C0:35:1C:55:5A,5397,-67,0.87012987,0.25,1.18,0.5
D9:C0:35:1C:55:5A,6538,-65,0.844155844,0.25,1.09,0.5
D9:C0:35:1C:55:5A,7708,-66,0.857142857,0.25,1.05,0.5
D9:C0:35:1C:55:5A,8861,-68,0.883116883,0.26,1.04,0.5
D9:C0:35:1C:55:5A,10019,-64,0.831168831,0.26,0.98,0.5
D9:C0:35:1C:55:5A,11181,-67,0.87012987,0.26,0.96,0.5
D9:C0:35:1C:55:5A,12335,-64,0.831168831,0.26,0.92,0.5
D9:C0:35:1C:55:5A,13458,-67,0.87012987,0.26,0.91,0.5
D9:C0:35:1C:55:5A,14622,-65,0.844155844,0.26,0.88,0.5
D9:C0:35:1C:55:5A,15749,-67,0.87012987,0.25,0.88,0.5
D9:C0:35:1C:55:5A,16920,-69,0.896103896,0.24,0.9,0.5
D9:C0:35:1C:55:5A,18055,-65,0.844155844,0.23,0.87,0.5
D9:C0:35:1C:55:5A,19178,-68,0.883116883,0.24,0.83,0.5
D9:C0:35:1C:55:5A,20342,-64,0.831168831,0.23,0.76,0.5
D9:C0:35:1C:55:5A,21456,-64,0.831168831,0.23,0.71,0.5
D9:C0:35:1C:55:5A,22609,-65,0.844155844,0.22,0.68,0.5
D9:C0:35:1C:55:5A,23774,-64,0.831168831,0.22,0.65,0.5
D9:C0:35:1C:55:5A,24921,-63,0.818181818,0.22,0.63,0.5
D9:C0:35:1C:55:5A,26073,-66,0.857142857,0.21,0.64,0.5
D9:C0:35:1C:55:5A,27198,-64,0.831168831,0.22,0.61,0.5
D9:C0:35:1C:55:5A,28331,-65,0.844155844,0.22,0.6,0.5
D9:C0:35:1C:55:5A,29459,-64,0.831168831,0.21,0.59,0.5
D9:C0:35:1C:55:5A,30625,-68,0.883116883,0.22,0.61,0.5
D9:C0:35:1C:55:5A,31766,-66,0.857142857,0.21,0.59,0.5
D9:C0:35:1C:55:5A,32918,-76,0.987012987,0.22,0.63,0.5
D9:C0:35:1C:55:5A,34040,-64,0.831168831,0.22,0.61,0.5
D9:C0:35:1C:55:5A,35222,-63,0.818181818,0.22,0.6,0.5
D9:C0:35:1C:55:5A,36376,-67,0.87012987,0.22,0.6,0.5
D9:C0:35:1C:55:5A,37513,-67,0.87012987,0.22,0.61,0.5
D9:C0:35:1C:55:5A,38628,-64,0.831168831,0.21,0.59,0.5
D9:C0:35:1C:55:5A,39798,-62,0.805194805,0.2,0.55,0.5
D9:C0:35:1C:55:5A,40923,-64,0.831168831,0.2,0.54,0.5
D9:C0:35:1C:55:5A,42058,-68,0.883116883,0.2,0.54,0.5
D9:C0:35:1C:55:5A,43249,-66,0.857142857,0.2,0.56,0.5
D9:C0:35:1C:55:5A,44373,-66,0.857142857,0.2,0.57,0.5
D9:C0:35:1C:55:5A,45531,-67,0.87012987,0.21,0.58,0.5
D9:C0:35:1C:55:5A,46658,-65,0.844155844,0.2,0.59,0.5
D9:C0:35:1C:55:5A,47804,-64,0.831168831,0.2,0.6,0.5
D9:C0:35:1C:55:5A,48926,-63,0.818181818,0.19,0.58,0.5
D9:C0:35:1C:55:5A,50056,-64,0.831168831,0.19,0.58,0.5
